Time,GeoType,GeoID,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2010,UHF42,503,Willowbrook,49.2,46.9,315	
2010,UHF42,504,South Beach - Tottenville,38.6,37.7,556	
2011,Borough,1,Bronx,191.7,193.2,19940	
2011,Borough,2,Brooklyn,121.1,121.0,23527	
2011,Borough,3,Manhattan,105.1,101.7,13959	
2011,Borough,4,Queens,61.8,62.0,11124	
2011,Borough,5,Staten Island,78.0,77.1,2801	
2011,Citywide,1,New York City,109.5,109.6,71351	
2011,UHF42,101,Kingsbridge - Riverdale,67.3,65.2,481	
2011,UHF42,102,Northeast Bronx,89.2,89.8,1380	
2011,UHF42,103,Fordham - Bronx Pk,168.4,167.4,3034	
2011,UHF42,104,Pelham - Throgs Neck,136.4,137.8,3135	
2011,UHF42,105,Crotona -Tremont,301.3,302.3,4426	
2011,UHF42,106,High Bridge - Morrisania,262.8,263.4,3937	
2011,UHF42,107,Hunts Point - Mott Haven,297.3,300.2,2902	
2011,UHF42,201,Greenpoint,76.3,65.4,662	
2011,UHF42,202,Downtown - Heights - Slope,100.5,91.1,1761	
2011,UHF42,203,Bedford Stuyvesant - Crown Heights,217.2,218.0,5453	
2011,UHF42,204,East New York,212.2,216.9,2926	
2011,UHF42,205,Sunset Park,80.1,76.8,737	
2011,UHF42,206,Borough Park,36.0,36.0,847	
2011,UHF42,207,East Flatbush - Flatbush,146.1,146.4,3378	
2011,UHF42,208,Canarsie - Flatlands,104.2,102.2,1624	
2011,UHF42,209,Bensonhurst - Bay Ridge,26.4,26.2,424	
2011,UHF42,210,Coney Island - Sheepshead Bay,57.2,56.2,1240	
2011,UHF42,211,Williamsburg - Bushwick,246.3,233.8,3782	
2011,UHF42,301,Washington Heights,95.4,95.0,2036	
2011,UHF42,302,Central Harlem - Morningside Heights,261.1,259.8,3664	
2011,UHF42,303,East Harlem,317.7,317.9,2782	
2011,UHF42,304,Upper West Side,55.7,54.0,999	
2011,UHF42,305,Upper East Side,26.7,24.7,459	
2011,UHF42,306,Chelsea - Clinton,58.8,54.8,749	
2011,UHF42,307,Gramercy Park - Murray Hill,54.7,46.8,552	
2011,UHF42,308,Greenwich Village - SoHo,22.2,20.4,147	
2011,UHF42,309,Union Square - Lower East Side,104.3,101.3,1730	
2011,UHF42,310,Lower Manhattan,55.1,47.8,239	
2011,UHF42,401,Long Island City - Astoria,69.0,63.6,1118	
2011,UHF42,402,West Queens,40.3,39.6,1447	
2011,UHF42,403,Flushing - Clearview,29.8,29.6,615	
2011,UHF42,404,Bayside - Little Neck,17.4,17.5,126	
2011,UHF42,405,Ridgewood - Forest Hills,39.9,39.0,792	
2011,UHF42,406,Fresh Meadows,47.4,46.4,359	
2011,UHF42,407,Southwest Queens,68.0,69.0,1506	
2011,UHF42,408,Jamaica,99.4,100.1,2387	
2011,UHF42,409,Southeast Queens,69.0,66.8,1101	
2011,UHF42,410,Rockaways,124.4,123.0,1095	
2011,UHF42,501,Port Richmond,156.1,158.7,756	
2011,UHF42,502,Stapleton - St. George,115.2,115.1,1083	
2011,UHF42,503,Willowbrook,41.5,41.1,281	
2011,UHF42,504,South Beach - Tottenville,39.6,39.2,599	
2012,Borough,1,Bronx,218.1,220.2,23063	
2012,Borough,2,Brooklyn,129.3,129.0,25438	
2012,Borough,3,Manhattan,109.0,104.9,14537	
2012,Borough,4,Queens,64.5,64.5,11685	
2012,Borough,5,Staten Island,85.9,84.3,3069	
2012,Citywide,1,New York City,118.3,118.2,77792	
2012,UHF42,101,Kingsbridge - Riverdale,73.6,72.1,534	
2012,UHF42,102,Northeast Bronx,137.6,134.3,2084	
2012,UHF42,103,Fordham - Bronx Pk,199.4,199.4,3676	
2012,UHF42,104,Pelham - Throgs Neck,162.3,163.6,3767	
2012,UHF42,105,Crotona -Tremont,296.3,298.3,4457	
2012,UHF42,106,High Bridge - Morrisania,289.1,291.9,4447	
2012,UHF42,107,Hunts Point - Mott Haven,323.8,330.0,3261	
2012,UHF42,201,Greenpoint,80.8,66.8,693	
2012,UHF42,202,Downtown - Heights - Slope,96.6,89.6,1777	
2012,UHF42,203,Bedford Stuyvesant - Crown Heights,239.6,241.1,6088	
2012,UHF42,204,East New York,229.2,235.3,3196	
2012,UHF42,205,Sunset Park,89.8,84.3,824	
2012,UHF42,206,Borough Park,38.9,38.8,926	
2012,UHF42,207,East Flatbush - Flatbush,146.6,146.5,3411	
2012,UHF42,208,Canarsie - Flatlands,104.0,101.7,1628	
2012,UHF42,209,Bensonhurst - Bay Ridge,32.7,32.4,534	
2012,UHF42,210,Coney Island - Sheepshead Bay,60.5,59.4,1327	
2012,UHF42,211,Williamsburg - Bushwick,274.0,260.5,4257	
2012,UHF42,301,Washington Heights,98.2,97.7,2120	
2012,UHF42,302,Central Harlem - Morningside Heights,279.9,277.9,3938	
2012,UHF42,303,East Harlem,327.1,325.6,2880	
2012,UHF42,304,Upper West Side,61.9,59.4,1108	
2012,UHF42,305,Upper East Side,21.5,20.6,386	
2012,UHF42,306,Chelsea - Clinton,61.8,57.0,791	
2012,UHF42,307,Gramercy Park - Murray Hill,52.1,46.1,549	
2012,UHF42,308,Greenwich Village - SoHo,19.8,18.2,132	
2012,UHF42,309,Union Square - Lower East Side,111.0,106.8,1838	
2012,UHF42,310,Lower Manhattan,61.7,47.9,244	
2012,UHF42,401,Long Island City - Astoria,69.2,64.0,1135	
2012,UHF42,402,West Queens,43.0,42.6,1570	
2012,UHF42,403,Flushing - Clearview,30.1,29.5,620	
2012,UHF42,404,Bayside - Little Neck,22.6,21.4,155	
2012,UHF42,405,Ridgewood - Forest Hills,41.5,40.8,830	
2012,UHF42,406,Fresh Meadows,54.9,53.1,414	
2012,UHF42,407,Southwest Queens,73.0,73.3,1616	
2012,UHF42,408,Jamaica,105.3,105.7,2547	
2012,UHF42,409,Southeast Queens,67.2,65.4,1087	
2012,UHF42,410,Rockaways,132.1,130.4,1164	
2012,UHF42,501,Port Richmond,174.7,176.7,844	
2012,UHF42,502,Stapleton - St. George,126.0,124.5,1177	
2012,UHF42,503,Willowbrook,41.5,41.3,284	
2012,UHF42,504,South Beach - Tottenville,45.9,44.9,688	
2013,Borough,1,Bronx,224.0,225.8,23937	
2013,Borough,2,Brooklyn,122.6,122.0,24305	
2013,Borough,3,Manhattan,101.6,97.7,13586	
2013,Borough,4,Queens,60.3,60.3,11020	
2013,Borough,5,Staten Island,73.3,71.6,2625	
2013,Citywide,1,New York City,114.0,113.7,75473	
2013,UHF42,101,Kingsbridge - Riverdale,76.2,75.0,556	
2013,UHF42,102,Northeast Bronx,166.5,161.2,2526	
2013,UHF42,103,Fordham - Bronx Pk,221.5,223.3,4175	
2013,UHF42,104,Pelham - Throgs Neck,164.7,165.5,3846	
2013,UHF42,105,Crotona -Tremont,281.8,283.3,4306	
2013,UHF42,106,High Bridge - Morrisania,285.3,289.9,4493	
2013,UHF42,107,Hunts Point - Mott Haven,324.5,325.9,3281	
2013,UHF42,201,Greenpoint,82.2,66.3,702	
2013,UHF42,202,Downtown - Heights - Slope,87.8,80.5,1633	
2013,UHF42,203,Bedford Stuyvesant - Crown Heights,232.4,232.8,5921	
2013,UHF42,204,East New York,229.1,234.8,3204	
2013,UHF42,205,Sunset Park,83.3,78.4,778	
2013,UHF42,206,Borough Park,31.0,31.0,747	
2013,UHF42,207,East Flatbush - Flatbush,139.9,139.5,3274	
2013,UHF42,208,Canarsie - Flatlands,93.9,93.1,1499	
2013,UHF42,209,Bensonhurst - Bay Ridge,30.1,30.4,507	
2013,UHF42,210,Coney Island - Sheepshead Bay,57.9,57.6,1296	
2013,UHF42,211,Williamsburg - Bushwick,256.9,242.8,3992	
2013,UHF42,301,Washington Heights,93.5,93.2,2031	
2013,UHF42,302,Central Harlem - Morningside Heights,267.3,263.7,3731	
2013,UHF42,303,East Harlem,319.8,316.8,2810	
2013,UHF42,304,Upper West Side,57.6,55.2,1033	
2013,UHF42,305,Upper East Side,21.9,21.2,398	
2013,UHF42,306,Chelsea - Clinton,59.1,54.0,757	
2013,UHF42,307,Gramercy Park - Murray Hill,53.6,46.5,556	
2013,UHF42,308,Greenwich Village - SoHo,12.6,11.7,85	
2013,UHF42,309,Union Square - Lower East Side,87.7,83.4,1437	
2013,UHF42,310,Lower Manhattan,51.9,38.0,196	
2013,UHF42,401,Long Island City - Astoria,68.7,63.1,1129	
2013,UHF42,402,West Queens,42.0,41.5,1545	
2013,UHF42,403,Flushing - Clearview,29.9,29.3,623	
2013,UHF42,404,Bayside - Little Neck,19.3,18.8,137	
2013,UHF42,405,Ridgewood - Forest Hills,40.3,39.9,813	
2013,UHF42,406,Fresh Meadows,51.7,50.4,396	
2013,UHF42,407,Southwest Queens,63.5,63.7,1417	
2013,UHF42,408,Jamaica,103.1,103.9,2534	
2013,UHF42,409,Southeast Queens,60.6,58.8,987	
2013,UHF42,410,Rockaways,106.0,103.6,928	
2013,UHF42,501,Port Richmond,137.9,140.8,680	
